VK,Hold,Flight,char,jitter,source,sentence_id,label
76,98,579,L,107.0,xoroshiro128,15034.0,1
69,123,63,E,1.0,human,,0
79,233,323,O,170.0,philox,10670.0,1
85,206,207,U,150.0,philox,5971.0,1
46,0,30,[UNK],0.0,human,,0
69,460,1112,E,595.0,mersenne,4120.0,1
32,246,106, ,61.0,philox,14748.0,1
84,199,37,T,391.0,pcg64,18234.0,1
83,36,1027,S,837.0,mersenne,18684.0,1
82,18,108,R,436.0,philox,11006.0,1
65,487,1038,A,244.0,mersenne,6876.0,1
75,233,284,K,2.0,philox,854.0,1
80,204,445,P,146.0,pcg64,11460.0,1
69,19,566,E,60.0,xoroshiro128,1545.0,1
70,104,312,F,104.0,human,,0
77,238,112,M,267.0,pcg64,3209.0,1
32,179,605, ,275.0,pcg64,1252.0,1
66,152,446,B,21.0,philox,7283.0,1
32,204,356, ,40.0,pcg64,7129.0,1
65,296,210,A,132.0,xoroshiro128,6382.0,1
82,36,270,R,377.0,mersenne,1415.0,1
78,309,336,N,477.0,mersenne,3307.0,1
84,302,694,T,381.0,philox,17171.0,1
76,130,63,L,366.0,xoroshiro128,13334.0,1
32,296,228, ,361.0,xoroshiro128,87.0,1
84,70,369,T,158.0,xoroshiro128,11246.0,1
73,334,437,I,136.0,pcg64,12606.0,1
69,298,401,E,9.0,philox,1416.0,1
32,220,457, ,189.0,mersenne,11431.0,1
68,270,299,D,109.0,philox,3365.0,1
67,213,406,C,5.0,pcg64,259.0,1
78,236,573,N,14.0,pcg64,12487.0,1
67,343,646,C,431.0,mersenne,10006.0,1
72,43,549,H,528.0,xoroshiro128,649.0,1
32,140,660, ,181.0,xoroshiro128,111.0,1
73,23,257,I,899.0,mersenne,17031.0,1
32,152,393, ,154.0,xoroshiro128,17664.0,1
65,279,193,A,261.0,pcg64,16628.0,1
86,115,783,V,177.0,mersenne,5.0,1
78,220,635,N,9.0,xoroshiro128,1781.0,1
32,423,116, ,38.0,mersenne,15813.0,1
73,230,230,I,209.0,mersenne,4636.0,1
32,354,256, ,897.0,mersenne,14371.0,1
69,115,421,E,176.0,philox,4731.0,1
70,382,254,F,173.0,pcg64,898.0,1
8,0,30,[BACKSPACE],0.0,human,,0
32,53,809, ,669.0,mersenne,4205.0,1
78,98,685,N,246.0,pcg64,9895.0,1
73,99,143,I,0.0,human,,0
73,56,384,I,184.0,human,,0
76,440,536,L,350.0,mersenne,15486.0,1
79,245,575,O,372.0,mersenne,1266.0,1
73,137,616,I,456.0,pcg64,1303.0,1
83,117,124,S,527.0,xoroshiro128,12008.0,1
76,301,320,L,451.0,mersenne,9836.0,1
79,354,403,O,84.0,mersenne,4477.0,1
69,139,605,E,194.0,pcg64,3867.0,1
82,321,144,R,24.0,pcg64,7123.0,1
66,118,191,B,312.0,pcg64,4990.0,1
83,190,243,S,344.0,xoroshiro128,1643.0,1
76,104,1120,L,1000.0,human,,0
76,189,73,L,442.0,xoroshiro128,46.0,1
85,346,57,U,457.0,pcg64,2136.0,1
82,71,525,R,70.0,philox,2195.0,1
32,88,795, ,624.0,mersenne,560.0,1
73,456,62,I,8.0,mersenne,6295.0,1
66,170,681,B,268.0,philox,12405.0,1
32,220,124, ,701.0,mersenne,1846.0,1
80,284,674,P,404.0,xoroshiro128,13577.0,1
73,136,96,I,592.0,human,,0
82,127,80,R,72.0,human,,0
71,160,104,G,65.0,philox,3213.0,1
68,297,351,D,317.0,xoroshiro128,719.0,1
79,88,248,O,120.0,human,,0
79,344,896,O,628.0,mersenne,15531.0,1
73,32,903,I,530.0,mersenne,3121.0,1
73,129,266,I,63.0,human,,0
79,492,539,O,373.0,mersenne,8421.0,1
65,80,128,A,32.0,human,,0
65,145,138,A,22.0,human,,0
78,260,350,N,108.0,xoroshiro128,377.0,1
83,296,446,S,134.0,pcg64,3346.0,1
77,141,433,M,338.0,mersenne,1564.0,1
87,86,131,W,112.0,human,,0
8,78,156,[BACKSPACE],0.0,human,,0
72,129,28,H,263.0,mersenne,1667.0,1
32,458,634, ,21.0,mersenne,8026.0,1
73,424,1032,I,356.0,mersenne,4584.0,1
76,94,141,L,62.0,human,,0
79,211,504,O,183.0,pcg64,3767.0,1
71,179,503,G,321.0,pcg64,16171.0,1
77,190,454,M,80.0,xoroshiro128,15847.0,1
83,248,291,S,225.0,pcg64,519.0,1
89,215,169,Y,124.0,philox,18449.0,1
82,96,88,R,16.0,human,,0
85,182,581,U,309.0,philox,16701.0,1
84,96,1382,T,1188.0,human,,0
87,380,55,W,244.0,xoroshiro128,18457.0,1
82,151,271,R,48.0,human,,0
69,158,488,E,123.0,philox,2131.0,1
84,88,296,T,399.0,philox,18657.0,1
67,319,397,C,216.0,philox,8538.0,1
69,319,393,E,6.0,xoroshiro128,5519.0,1
65,398,276,A,245.0,philox,1346.0,1
73,148,237,I,95.0,human,,0
65,324,532,A,322.0,pcg64,12630.0,1
8,82,215,[BACKSPACE],216.0,human,,0
68,226,487,D,126.0,pcg64,6718.0,1
32,189,72, ,88.0,xoroshiro128,8986.0,1
67,110,711,C,409.0,mersenne,13501.0,1
82,221,548,R,407.0,philox,3726.0,1
79,251,534,O,345.0,pcg64,17164.0,1
69,22,97,E,369.0,pcg64,14792.0,1
79,376,620,O,218.0,xoroshiro128,9293.0,1
85,344,297,U,111.0,pcg64,13620.0,1
84,12,235,T,185.0,xoroshiro128,2979.0,1
83,140,589,S,449.0,mersenne,15475.0,1
70,441,379,F,799.0,mersenne,17382.0,1
82,121,239,R,438.0,xoroshiro128,16359.0,1
69,93,110,E,14.0,human,,0
84,175,102,T,54.0,philox,11436.0,1
82,144,424,R,286.0,pcg64,5435.0,1
84,25,1008,T,740.0,mersenne,15591.0,1
69,64,72,E,104.0,human,,0
73,112,536,I,301.0,pcg64,2811.0,1
82,78,187,R,390.0,human,,0
67,353,264,C,87.0,pcg64,3972.0,1
32,185,312, ,245.0,philox,3255.0,1
73,480,246,I,180.0,mersenne,15820.0,1
69,70,217,E,420.0,philox,17003.0,1
78,172,172,N,31.0,human,,0
78,84,152,N,57.0,human,,0
76,232,407,L,325.0,pcg64,8827.0,1
78,336,639,N,473.0,pcg64,9901.0,1
65,90,626,A,49.0,pcg64,18028.0,1
78,189,621,N,143.0,philox,2380.0,1
73,235,417,I,355.0,xoroshiro128,5519.0,1
85,106,173,U,118.0,human,,0
32,371,415, ,370.0,xoroshiro128,303.0,1
73,194,472,I,128.0,xoroshiro128,3266.0,1
69,432,522,E,341.0,mersenne,9658.0,1
65,103,329,A,241.0,xoroshiro128,14537.0,1
65,171,586,A,544.0,pcg64,140.0,1
69,140,1326,E,624.0,human,,0
78,92,514,N,82.0,pcg64,12920.0,1
65,223,628,A,184.0,xoroshiro128,10103.0,1
67,306,522,C,63.0,xoroshiro128,7516.0,1
87,141,134,W,503.0,philox,3219.0,1
32,186,312, ,22.0,pcg64,18624.0,1
68,393,116,D,259.0,xoroshiro128,4793.0,1
73,51,582,I,236.0,mersenne,15924.0,1
80,114,459,P,39.0,philox,17697.0,1
78,422,688,N,108.0,mersenne,2203.0,1
67,106,137,C,12.0,human,,0
79,450,1081,O,593.0,mersenne,9912.0,1
69,183,216,E,473.0,xoroshiro128,281.0,1
73,120,152,I,64.0,human,,0
32,45,368, ,18.0,philox,15769.0,1
84,16,31,T,137.0,xoroshiro128,1212.0,1
78,108,172,N,0.0,human,,0
69,134,29,E,441.0,xoroshiro128,11398.0,1
73,85,334,I,33.0,xoroshiro128,5595.0,1
68,176,252,D,100.0,human,,0
56,215,121,8,21.0,pcg64,10568.0,1
77,61,138,M,388.0,pcg64,15624.0,1
84,188,1005,T,377.0,mersenne,5627.0,1
83,317,457,S,239.0,pcg64,8347.0,1
78,109,354,N,705.0,mersenne,18018.0,1
70,415,477,F,105.0,mersenne,10719.0,1
69,229,344,E,84.0,mersenne,1563.0,1
73,72,420,I,104.0,philox,18602.0,1
69,77,328,E,26.0,human,,0
76,109,418,L,353.0,mersenne,14090.0,1
68,292,263,D,149.0,xoroshiro128,16873.0,1
69,73,171,E,14.0,human,,0
67,406,984,C,820.0,mersenne,9024.0,1
72,416,465,H,129.0,mersenne,2593.0,1
65,56,912,A,752.0,human,,0
32,93,219, ,219.0,human,,0
188,207,491,[UNK],402.0,human,,0
67,316,609,C,508.0,philox,14590.0,1
78,176,144,N,64.0,human,,0
82,104,360,R,72.0,human,,0
68,370,1142,D,489.0,mersenne,11605.0,1
32,134,643, ,89.0,xoroshiro128,13111.0,1
32,177,422, ,11.0,philox,17850.0,1
76,243,331,L,310.0,pcg64,17171.0,1
84,136,80,T,81.0,human,,0
65,262,378,A,353.0,philox,18763.0,1
73,127,116,I,117.0,human,,0
78,183,89,N,174.0,xoroshiro128,12614.0,1
76,466,1127,L,284.0,mersenne,9500.0,1
85,361,99,U,234.0,pcg64,18521.0,1
32,151,67, ,1074.0,mersenne,15490.0,1
82,100,52,R,214.0,philox,14614.0,1
32,114,-1, ,234.0,human,,0
32,99,190, ,558.0,human,,0
32,244,318, ,91.0,philox,13221.0,1
84,67,608,T,496.0,xoroshiro128,1204.0,1
80,33,144,P,338.0,pcg64,7361.0,1
73,20,259,I,300.0,pcg64,4742.0,1
69,247,367,E,332.0,mersenne,10648.0,1
85,170,188,U,117.0,human,,0
32,366,1000, ,752.0,mersenne,8397.0,1
69,21,85,E,33.0,pcg64,17511.0,1
79,280,481,O,69.0,pcg64,12977.0,1
32,75,519, ,350.0,philox,12381.0,1
79,290,305,O,222.0,xoroshiro128,8367.0,1
39,88,1216,[UNK],320.0,human,,0
84,453,351,T,561.0,mersenne,3333.0,1
73,47,116,I,328.0,philox,1250.0,1
73,345,603,I,222.0,xoroshiro128,14440.0,1
82,56,120,R,0.0,human,,0
32,120,585, ,342.0,xoroshiro128,5201.0,1
84,140,602,T,18.0,philox,18599.0,1
70,295,699,F,128.0,pcg64,17856.0,1
32,258,1129, ,314.0,mersenne,2893.0,1
73,275,596,I,295.0,xoroshiro128,15144.0,1
32,158,498, ,98.0,mersenne,12522.0,1
69,66,541,E,182.0,xoroshiro128,3169.0,1
83,46,666,S,475.0,xoroshiro128,11575.0,1
78,107,300,N,628.0,mersenne,2430.0,1
77,95,525,M,86.0,philox,9852.0,1
85,25,583,U,223.0,philox,2982.0,1
73,86,77,I,30.0,human,,0
76,249,302,L,363.0,xoroshiro128,17460.0,1
68,109,420,D,530.0,human,,0
82,238,418,R,299.0,pcg64,16898.0,1
79,386,547,O,54.0,philox,4391.0,1
32,31,1154, ,414.0,mersenne,11705.0,1
65,442,795,A,269.0,mersenne,8980.0,1
32,248,521, ,253.0,xoroshiro128,10719.0,1
73,308,220,I,65.0,xoroshiro128,11210.0,1
83,61,200,S,157.0,pcg64,9511.0,1
82,332,69,R,223.0,philox,5813.0,1
32,151,67, ,1074.0,mersenne,15444.0,1
83,366,314,S,32.0,philox,13771.0,1
83,170,1046,S,67.0,mersenne,3019.0,1
66,331,576,B,334.0,philox,6360.0,1
78,67,679,N,451.0,xoroshiro128,17026.0,1
14,0,545,[UNK],0.0,human,,0
32,56,216, ,152.0,human,,0
46,100,153,[UNK],16.0,human,,0
83,96,128,S,16.0,human,,0
65,334,489,A,166.0,philox,10147.0,1
79,286,32,O,2.0,xoroshiro128,11593.0,1
69,72,644,E,118.0,xoroshiro128,7405.0,1
82,282,646,R,287.0,xoroshiro128,8151.0,1
32,104,144, ,40.0,human,,0
66,321,350,B,114.0,mersenne,7463.0,1
79,93,241,O,385.0,philox,14892.0,1
8,80,127,[BACKSPACE],45.0,human,,0
65,499,734,A,678.0,mersenne,13553.0,1
69,383,593,E,187.0,mersenne,12750.0,1
32,276,62, ,555.0,xoroshiro128,3442.0,1
79,371,448,O,125.0,pcg64,15987.0,1
84,343,628,T,60.0,philox,1529.0,1
78,240,1011,N,196.0,mersenne,16951.0,1
83,346,650,S,168.0,pcg64,1564.0,1
78,303,537,N,379.0,xoroshiro128,18016.0,1
84,180,258,T,135.0,xoroshiro128,1566.0,1
32,64,80, ,2.0,pcg64,12452.0,1
79,336,42,O,325.0,pcg64,12862.0,1
69,109,104,E,95.0,human,,0
32,354,329, ,273.0,xoroshiro128,431.0,1
83,360,525,S,84.0,pcg64,14458.0,1
69,48,223,E,63.0,human,,0
32,144,98, ,575.0,xoroshiro128,1955.0,1
72,53,43,H,629.0,pcg64,17686.0,1
32,88,67, ,44.0,human,,0
84,88,156,T,16.0,human,,0
49,396,209,1,217.0,philox,5222.0,1
65,28,44,A,59.0,pcg64,898.0,1
32,55,638, ,159.0,philox,13362.0,1
79,24,954,O,36.0,mersenne,138.0,1
79,471,899,O,580.0,mersenne,15817.0,1
85,84,128,U,15.0,mersenne,10121.0,1
73,209,363,I,252.0,philox,1929.0,1
73,354,407,I,87.0,xoroshiro128,10571.0,1
69,145,149,E,444.0,philox,17405.0,1
87,259,577,W,353.0,pcg64,1307.0,1
65,229,374,A,332.0,xoroshiro128,9639.0,1
65,21,463,A,52.0,xoroshiro128,12485.0,1
79,45,123,O,106.0,human,,0
32,252,162, ,377.0,pcg64,14506.0,1
32,212,1001, ,943.0,mersenne,10558.0,1
82,63,83,R,255.0,pcg64,5389.0,1
65,118,385,A,252.0,pcg64,14390.0,1
73,152,629,I,304.0,pcg64,17348.0,1
65,279,737,A,579.0,mersenne,2346.0,1
83,124,505,S,178.0,pcg64,2120.0,1
76,120,64,L,112.0,human,,0
84,72,352,T,192.0,human,,0
67,500,1096,C,856.0,mersenne,10056.0,1
84,29,667,T,26.0,mersenne,9683.0,1
69,62,110,E,15.0,human,,0
67,278,62,C,518.0,philox,3034.0,1
83,144,88,S,16.0,human,,0
77,232,661,M,66.0,pcg64,10134.0,1
69,160,991,E,414.0,mersenne,15359.0,1
76,261,641,L,390.0,xoroshiro128,7563.0,1
69,112,199,E,304.0,xoroshiro128,612.0,1
89,241,54,Y,15.0,xoroshiro128,10304.0,1
32,10,417, ,102.0,xoroshiro128,18061.0,1
78,156,453,N,295.0,xoroshiro128,1638.0,1
76,181,409,L,195.0,pcg64,15377.0,1
86,19,13,V,492.0,mersenne,440.0,1
87,111,183,W,49.0,human,,0
84,98,240,T,79.0,pcg64,2533.0,1
80,24,373,P,162.0,pcg64,11860.0,1
80,248,358,P,335.0,xoroshiro128,1395.0,1
79,25,636,O,288.0,philox,8900.0,1
76,74,329,L,101.0,pcg64,11151.0,1
78,297,457,N,133.0,xoroshiro128,5514.0,1
76,94,125,L,63.0,human,,0
69,384,496,E,178.0,philox,13616.0,1
87,95,292,W,152.0,philox,2064.0,1
79,57,11,O,173.0,xoroshiro128,4865.0,1
73,188,965,I,882.0,mersenne,9298.0,1
80,428,754,P,259.0,mersenne,8987.0,1
73,35,1118,I,75.0,mersenne,4113.0,1
76,309,469,L,189.0,pcg64,8606.0,1
84,156,204,T,499.0,human,,0
84,309,28,T,639.0,xoroshiro128,11004.0,1
32,227,679, ,15.0,philox,1830.0,1
13,96,232,[ENTER],144.0,human,,0
80,280,499,P,38.0,pcg64,16896.0,1
65,221,581,A,357.0,mersenne,18315.0,1
84,48,41,T,113.0,philox,11399.0,1
86,274,1162,V,869.0,mersenne,10110.0,1
32,141,172, ,78.0,human,,0
84,276,75,T,61.0,xoroshiro128,12011.0,1
32,15,452, ,426.0,pcg64,146.0,1
70,54,107,F,313.0,pcg64,18559.0,1
84,120,136,T,64.0,human,,0
77,400,1160,M,879.0,mersenne,6412.0,1
82,383,22,R,220.0,xoroshiro128,15437.0,1
88,173,500,X,406.0,mersenne,4047.0,1
73,218,27,I,785.0,mersenne,4510.0,1
72,106,154,H,201.0,human,,0
77,67,834,M,253.0,mersenne,11054.0,1
32,129,494, ,414.0,xoroshiro128,2598.0,1
83,25,893,S,865.0,mersenne,5242.0,1
32,313,389, ,207.0,xoroshiro128,11905.0,1
78,212,307,N,32.0,xoroshiro128,11898.0,1
66,15,524,B,54.0,xoroshiro128,10801.0,1
75,196,430,K,628.0,mersenne,17765.0,1
79,94,28,O,239.0,pcg64,1985.0,1
32,190,99, ,412.0,philox,3947.0,1
8,434,403,[BACKSPACE],235.0,human,,0
32,191,595, ,250.0,philox,4697.0,1
76,267,555,L,490.0,mersenne,18071.0,1
78,293,536,N,449.0,philox,15373.0,1
32,279,15, ,124.0,philox,12569.0,1
32,475,106, ,295.0,mersenne,621.0,1
77,287,554,M,61.0,xoroshiro128,7673.0,1
78,412,940,N,44.0,mersenne,569.0,1
83,29,573,S,433.0,philox,18371.0,1
69,281,45,E,558.0,xoroshiro128,10593.0,1
84,362,885,T,85.0,mersenne,17084.0,1
73,303,423,I,35.0,xoroshiro128,11004.0,1
89,112,270,Y,116.0,human,,0
83,282,424,S,254.0,mersenne,9921.0,1
82,175,339,R,275.0,philox,1160.0,1
82,282,835,R,144.0,mersenne,2192.0,1
66,10,454,B,95.0,pcg64,18684.0,1
162,576,760,[UNK],512.0,human,,0
70,140,532,F,439.0,human,,0
32,111,639, ,393.0,xoroshiro128,6450.0,1
69,232,208,E,24.0,human,,0
79,160,660,O,228.0,xoroshiro128,16320.0,1
83,65,292,S,186.0,philox,13934.0,1
79,66,373,O,163.0,xoroshiro128,1401.0,1
65,157,209,A,765.0,mersenne,1653.0,1
85,59,610,U,76.0,pcg64,17403.0,1
69,374,591,E,7.0,philox,15695.0,1
65,240,388,A,49.0,xoroshiro128,9423.0,1
79,150,756,O,746.0,mersenne,18723.0,1
32,299,688, ,415.0,xoroshiro128,16254.0,1
56,45,145,8,213.0,pcg64,13121.0,1
77,141,664,M,642.0,mersenne,10875.0,1
77,27,403,M,129.0,pcg64,7244.0,1
190,79,-1,[UNK],153.0,human,,0
69,56,568,E,376.0,human,,0
65,125,114,A,346.0,philox,17893.0,1
78,112,102,N,149.0,human,,0
69,364,168,E,134.0,pcg64,2993.0,1
69,351,661,E,332.0,mersenne,4754.0,1
69,163,590,E,119.0,pcg64,16098.0,1
65,108,138,A,3.0,human,,0
51,146,331,3,0.0,human,,0
73,204,401,I,235.0,xoroshiro128,15046.0,1
65,426,65,A,290.0,mersenne,1483.0,1
86,234,340,V,260.0,xoroshiro128,1985.0,1
188,94,234,[UNK],101.0,human,,0
71,78,141,G,16.0,human,,0
82,140,125,R,12.0,human,,0
84,293,418,T,271.0,xoroshiro128,3981.0,1
67,337,405,C,770.0,mersenne,16920.0,1
83,372,224,S,250.0,philox,5436.0,1
32,469,699, ,647.0,mersenne,17392.0,1
32,348,613, ,172.0,philox,9036.0,1
32,176,135, ,321.0,mersenne,17423.0,1
32,264,464, ,98.0,mersenne,8839.0,1
76,38,569,L,292.0,xoroshiro128,4636.0,1
78,83,219,N,941.0,mersenne,2695.0,1
65,169,267,A,163.0,pcg64,2593.0,1
32,371,312, ,327.0,pcg64,17455.0,1
84,165,410,T,382.0,pcg64,2804.0,1
89,26,452,Y,139.0,philox,2679.0,1
69,235,386,E,217.0,pcg64,9727.0,1
73,273,1131,I,414.0,mersenne,2463.0,1
69,265,45,E,404.0,philox,1966.0,1
68,90,12,D,376.0,mersenne,509.0,1
68,80,239,D,120.0,human,,0
69,25,212,E,90.0,xoroshiro128,3941.0,1
78,128,144,N,64.0,human,,0
53,231,374,5,271.0,philox,12040.0,1
89,78,420,Y,319.0,xoroshiro128,18409.0,1
32,288,382, ,167.0,mersenne,92.0,1
70,69,474,F,403.0,pcg64,2213.0,1
83,69,200,S,86.0,human,,0
70,319,956,F,131.0,mersenne,974.0,1
32,47,102, ,88.0,human,,0
73,247,459,I,212.0,pcg64,14050.0,1
84,357,281,T,409.0,xoroshiro128,7950.0,1
85,72,120,U,32.0,human,,0
83,227,317,S,58.0,pcg64,1710.0,1
76,195,919,L,523.0,mersenne,1300.0,1
65,149,136,A,269.0,human,,0
84,10,123,T,350.0,mersenne,12969.0,1
32,78,172, ,0.0,human,,0
82,330,315,R,271.0,philox,11038.0,1
85,35,411,U,280.0,philox,18575.0,1
50,347,502,2,13.0,xoroshiro128,14288.0,1
73,14,549,I,103.0,pcg64,10796.0,1
82,47,659,R,616.0,philox,15787.0,1
84,235,1176,T,979.0,mersenne,9706.0,1
32,79,65, ,119.0,human,,0
78,94,149,N,420.0,philox,17208.0,1
70,328,564,F,64.0,philox,17485.0,1
69,350,458,E,334.0,pcg64,2037.0,1
79,169,167,O,329.0,philox,18728.0,1
67,126,58,C,74.0,philox,9375.0,1
77,65,129,M,212.0,xoroshiro128,10070.0,1
84,244,373,T,100.0,xoroshiro128,18632.0,1
67,189,157,C,61.0,pcg64,3599.0,1
85,481,1126,U,881.0,mersenne,14420.0,1
83,394,73,S,488.0,mersenne,11245.0,1
86,72,280,V,331.0,human,,0
77,312,539,M,102.0,philox,11006.0,1
67,263,505,C,241.0,pcg64,10795.0,1
65,242,610,A,283.0,xoroshiro128,3190.0,1
84,130,377,T,143.0,philox,11030.0,1
84,176,53,T,62.0,philox,14342.0,1
80,437,1065,P,370.0,mersenne,4374.0,1
79,128,551,O,146.0,philox,6954.0,1
81,24,392,Q,37.0,xoroshiro128,16174.0,1
32,297,416, ,506.0,mersenne,2655.0,1
71,102,47,G,150.0,human,,0
32,128,643, ,403.0,xoroshiro128,5580.0,1
32,371,619, ,11.0,xoroshiro128,164.0,1
65,78,93,A,48.0,human,,0
89,101,155,Y,46.0,human,,0
96,79,265,[UNK],110.0,human,,0
89,67,474,Y,67.0,pcg64,17461.0,1
83,302,446,S,246.0,pcg64,17556.0,1
79,207,604,O,100.0,pcg64,11573.0,1
82,79,81,R,39.0,human,,0
80,219,272,P,92.0,xoroshiro128,12573.0,1
67,64,176,C,0.0,human,,0
32,274,425, ,59.0,philox,1206.0,1
79,139,420,O,385.0,philox,11198.0,1
73,109,64,I,487.0,pcg64,13231.0,1
8,32,1376,[BACKSPACE],1224.0,human,,0
78,13,534,N,398.0,mersenne,11336.0,1
69,249,526,E,85.0,xoroshiro128,8536.0,1
65,65,634,A,562.0,mersenne,4272.0,1
67,64,80,C,285.0,xoroshiro128,8586.0,1
32,369,468, ,451.0,philox,136.0,1
32,162,94, ,55.0,human,,0
80,180,34,P,69.0,philox,6376.0,1
75,56,537,K,117.0,pcg64,2092.0,1
79,495,1131,O,1076.0,mersenne,3204.0,1
32,206,164, ,94.0,philox,2307.0,1
69,340,395,E,291.0,pcg64,6756.0,1
69,333,54,E,14.0,xoroshiro128,5058.0,1
73,133,276,I,11.0,xoroshiro128,1364.0,1
69,31,394,E,204.0,mersenne,18425.0,1
65,304,493,A,416.0,pcg64,8996.0,1
84,136,200,T,88.0,human,,0
32,188,612, ,109.0,philox,16235.0,1
65,122,333,A,179.0,philox,11060.0,1
69,81,144,E,88.0,human,,0
79,290,139,O,19.0,xoroshiro128,4890.0,1
73,143,381,I,36.0,philox,8707.0,1
32,141,110, ,15.0,pcg64,12542.0,1
79,351,59,O,263.0,mersenne,17735.0,1
78,376,485,N,29.0,mersenne,2348.0,1
73,93,1009,I,119.0,mersenne,9951.0,1
68,388,153,D,77.0,philox,2457.0,1
65,253,559,A,149.0,pcg64,9562.0,1
84,98,622,T,458.0,pcg64,1904.0,1
65,207,350,A,227.0,mersenne,802.0,1
80,314,853,P,35.0,mersenne,3055.0,1
77,28,125,M,91.0,xoroshiro128,17188.0,1
32,110,25, ,159.0,human,,0
83,187,60,S,247.0,philox,10508.0,1
65,70,192,A,184.0,pcg64,12146.0,1
66,172,99,B,483.0,xoroshiro128,13662.0,1
80,63,390,P,296.0,human,,0
32,239,358, ,315.0,philox,15091.0,1
32,144,136, ,88.0,human,,0
79,295,245,O,105.0,xoroshiro128,616.0,1
107,112,752,[UNK],592.0,human,,0
67,359,310,C,246.0,xoroshiro128,5057.0,1
32,381,369, ,376.0,mersenne,8608.0,1
73,63,33,I,583.0,mersenne,4948.0,1
73,82,535,I,9.0,mersenne,18429.0,1
65,56,64,A,72.0,human,,0
71,407,233,G,909.0,mersenne,3124.0,1
72,339,357,H,84.0,xoroshiro128,10413.0,1
80,152,146,P,156.0,human,,0
84,501,1095,T,439.0,mersenne,12085.0,1
32,387,127, ,952.0,mersenne,6413.0,1
69,205,535,E,471.0,xoroshiro128,6848.0,1
57,76,773,9,73.0,mersenne,7571.0,1
73,71,168,I,8.0,human,,0
73,104,214,I,150.0,philox,11577.0,1
73,180,363,I,3.0,philox,9882.0,1
69,74,373,E,71.0,mersenne,2143.0,1
71,244,717,G,633.0,mersenne,5407.0,1
76,86,206,L,187.0,philox,1686.0,1
70,112,618,F,180.0,philox,1561.0,1
32,137,144, ,92.0,human,,0
70,124,168,F,46.0,human,,0
69,288,568,E,337.0,philox,18525.0,1
82,112,97,R,126.0,xoroshiro128,2913.0,1
32,246,161, ,457.0,philox,3213.0,1
86,215,251,V,748.0,mersenne,13629.0,1
39,0,31,[UNK],1.0,human,,0
78,99,142,N,6.0,human,,0
